datetime,isSpeaking,volume
2017-04-13 20:40:17,A,0.852965
2017-04-13 20:40:17,A,0.874076
2017-04-13 20:40:17,A,0.947802
2017-04-13 20:40:17,A,0.79184
2017-04-13 20:40:17,A,0.783857
2017-04-13 20:40:18,A,0.839943
2017-04-13 20:40:19,B,0.763302
2017-04-13 20:40:19,B,0.746372
2017-04-13 20:40:19,B,0.893207
2017-04-13 20:40:19,B,0.928186
2017-04-13 20:40:19,B,0.825166
2017-04-13 20:40:20,B,0.646435
2017-04-13 20:40:20,B,0.572317
2017-04-13 20:40:20,B,0.487457
2017-04-13 20:40:20,B,0.74931
2017-04-13 20:40:20,B,0.936096
2017-04-13 20:40:20,B,0.806203
2017-04-13 20:40:20,B,0.740251
2017-04-13 20:40:20,B,0.935949
2017-04-13 20:40:20,B,0.783692
2017-04-13 20:40:20,B,0.820884
2017-04-13 20:40:20,B,0.900912
2017-04-13 20:40:21,B,0.815357
2017-04-13 20:40:21,B,0.825811
2017-04-13 20:40:21,B,0.887666
2017-04-13 20:40:21,B,0.77514
2017-04-13 20:40:21,B,0.886722
2017-04-13 20:40:21,B,0.859735
2017-04-13 20:40:21,B,0.749583
2017-04-13 20:40:22,B,0.735734
2017-04-13 20:40:22,B,0.914564
2017-04-13 20:40:22,B,0.76929
2017-04-13 20:40:22,B,0.682536
2017-04-13 20:40:23,B,0.912746
2017-04-13 20:40:23,B,0.912397
2017-04-13 20:40:24,B,0.863453
2017-04-13 20:40:24,B,0.820857
2017-04-13 20:40:25,B,1
2017-04-13 20:40:25,B,0.901258
2017-04-13 20:40:25,B,0.937094
2017-04-13 20:40:25,B,0.925002
2017-04-13 20:40:25,B,0.906271
2017-04-13 20:40:25,B,0.908356
2017-04-13 20:40:25,B,0.87931
2017-04-13 20:40:25,B,0.821648
2017-04-13 20:40:25,B,0.874884
2017-04-13 20:40:26,B,1
2017-04-13 20:40:26,B,0.924197
2017-04-13 20:40:26,B,0.784156
2017-04-13 20:40:26,B,0.92392
2017-04-13 20:40:26,B,0.971838
